; Composite MgII index V5  mark.weber@uni-bremen.de 20220213
;
;  1       N7/N9/N11 (Viereck 1999)   3892
;  2                        N7/SBUV     50
;  3                       N9/SBUV2      9
;  4                      N11/SBUV2     17
;  5                      N16/SBUV2    181
;  6                      N17/SBUV2      3
;  7                      N18/SBUV2      1
;  8      U/SOLSTICE (de Toma 1997)      0
;  9           U/SOLSTICE (classic)   1369
; 10                          SUSIM    109
; 11                           GOME   2450
; 12                      SCIAMACHY   1329
; 13                     S/SOLSTICE     27
; 14                            OMI      5
; 15              GOME-2A (classic)   2843
; 16              GOME-2B (classic)   2583
; 17                      N19/SBUV2      3
; 18              GOME-2C (classic)      6
; 19                          F30cm    928
; 20                   cubic spline      0
; fractional year, month, day, index, uncertainty(1s), source id
  1978.85068 11 07 0.16402  4.88e-04   1
  1978.85342 11 08 0.16382  4.85e-04   1
  1978.85616 11 09 0.16373  4.84e-04   1
  1978.85890 11 10 0.16334  4.78e-04   1
  1978.86164 11 11 0.16166  1.36e-03  19
  1978.86438 11 12 0.16275  4.70e-04   1
  1978.86712 11 13 0.16157  4.55e-04   1
  1978.86986 11 14 0.16050  4.42e-04   1
  1978.87260 11 15 0.15906  1.19e-03  19
  1978.87534 11 16 0.15872  1.17e-03  19
  1978.87808 11 17 0.15847  1.16e-03  19
  1978.88082 11 18 0.15829  1.15e-03  19
  1978.88356 11 19 0.15971  4.32e-04   1
  1978.88630 11 20 0.15913  4.26e-04   1
  1978.88904 11 21 0.15790  1.12e-03  19
  1978.89178 11 22 0.15874  4.22e-04   1
  1978.89452 11 23 0.15874  4.22e-04   1
  1978.89726 11 24 0.15942  4.29e-04   1
  1978.90000 11 25 0.16011  4.37e-04   1
  1978.90274 11 26 0.16108  4.49e-04   1
  1978.90548 11 27 0.16226  4.64e-04   1
  1978.90822 11 28 0.16236  4.65e-04   1
  1978.91096 11 29 0.16165  1.36e-03  19
  1978.91370 11 30 0.16237  1.41e-03  19
  1978.91644 12 01 0.16510  5.03e-04   1
  1978.91918 12 02 0.16578  5.14e-04   1
  1978.92192 12 03 0.16326  1.47e-03  19
  1978.92466 12 04 0.16500  5.02e-04   1
  1978.92740 12 05 0.16568  5.12e-04   1
  1978.93014 12 06 0.16490  5.00e-04   1
  1978.93288 12 07 0.16519  5.05e-04   1
  1978.93562 12 08 0.16441  4.93e-04   1
  1978.93836 12 09 0.16422  4.91e-04   1
  1978.94110 12 10 0.16411  1.52e-03  19
  1978.94384 12 11 0.16425  1.53e-03  19
  1978.94658 12 12 0.16441  4.93e-04   1
  1978.94932 12 13 0.16431  4.92e-04   1
  1978.95205 12 14 0.16373  4.84e-04   1
  1978.95479 12 15 0.16267  1.43e-03  19
  1978.95753 12 16 0.16294  4.73e-04   1
  1978.96027 12 17 0.15893  4.24e-04   1
  1978.96301 12 18 0.16108  4.49e-04   1
  1978.96575 12 19 0.16011  4.37e-04   1
  1978.96849 12 20 0.15991  4.35e-04   1
  1978.97123 12 21 0.15639  3.99e-04   1
  1978.97397 12 22 0.15786  4.13e-04   1
  1978.97671 12 23 0.15865  1.17e-03  19
  1978.97945 12 24 0.15903  4.25e-04   1
  1978.98219 12 25 0.16079  4.45e-04   1
  1978.98493 12 26 0.16177  4.57e-04   1
  1978.98767 12 27 0.16132  1.34e-03  19
  1978.99041 12 28 0.16441  4.93e-04   1
  1978.99315 12 29 0.16568  5.12e-04   1
  1978.99589 12 30 0.16627  5.21e-04   1
  1978.99863 12 31 0.16521  1.60e-03  19
  1979.00137 01 01 0.16774  5.44e-04   1
  1979.00411 01 02 0.16813  5.50e-04   1
  1979.00685 01 03 0.16911  5.66e-04   1
  1979.00959 01 04 0.16793  1.78e-03  19
  1979.01233 01 05 0.16862  5.58e-04   1
  1979.01507 01 06 0.16715  5.34e-04   1
  1979.01781 01 07 0.16823  5.51e-04   1
  1979.02055 01 08 0.16789  1.78e-03  19
  1979.02329 01 09 0.16793  5.47e-04   1
  1979.02603 01 10 0.16686  5.30e-04   1
  1979.02877 01 11 0.16685  1.71e-03  19
  1979.03151 01 12 0.16686  5.30e-04   1
  1979.03425 01 13 0.16715  5.34e-04   1
  1979.03699 01 14 0.16627  5.21e-04   1
  1979.03973 01 15 0.16559  5.11e-04   1
  1979.04247 01 16 0.16479  1.57e-03  19
  1979.04521 01 17 0.16446  1.55e-03  19
  1979.04795 01 18 0.16353  4.81e-04   1
  1979.05068 01 19 0.16334  4.78e-04   1
  1979.05342 01 20 0.16519  1.60e-03  19
  1979.05616 01 21 0.16549  5.09e-04   1
  1979.05890 01 22 0.16672  1.70e-03  19
  1979.06164 01 23 0.16803  5.48e-04   1
  1979.06438 01 24 0.16901  5.64e-04   1
  1979.06712 01 25 0.16921  5.67e-04   1
  1979.06986 01 26 0.16830  1.81e-03  19
  1979.07260 01 27 0.16784  5.45e-04   1
  1979.07534 01 28 0.16705  5.33e-04   1
  1979.07808 01 29 0.16647  5.24e-04   1
  1979.08082 01 30 0.16705  5.33e-04   1
  1979.08356 01 31 0.16656  5.25e-04   1
  1979.08630 02 01 0.16894  1.86e-03  19
  1979.08904 02 02 0.16823  5.51e-04   1
  1979.09178 02 03 0.16940  5.70e-04   1
  1979.09452 02 04 0.16940  5.70e-04   1
  1979.09726 02 05 0.16999  5.80e-04   1
  1979.10000 02 06 0.17027  1.95e-03  19
  1979.10274 02 07 0.17048  5.88e-04   1
  1979.10548 02 08 0.17097  5.96e-04   1
  1979.10822 02 09 0.17013  1.94e-03  19
  1979.11096 02 10 0.16872  5.59e-04   1
  1979.11370 02 11 0.16725  5.36e-04   1
  1979.11644 02 12 0.16715  5.34e-04   1
  1979.11918 02 13 0.16873  1.84e-03  19
  1979.12192 02 14 0.16617  5.19e-04   1
  1979.12466 02 15 0.16686  5.30e-04   1
  1979.12740 02 16 0.16735  5.37e-04   1
  1979.13014 02 17 0.16872  5.59e-04   1
  1979.13288 02 18 0.17017  1.94e-03  19
  1979.13562 02 19 0.17038  5.87e-04   1
  1979.13836 02 20 0.16999  5.80e-04   1
  1979.14110 02 21 0.16900  1.86e-03  19
  1979.14384 02 22 0.16754  5.41e-04   1
  1979.14658 02 23 0.16676  5.28e-04   1
  1979.14932 02 24 0.16549  5.09e-04   1
  1979.15205 02 25 0.16682  1.71e-03  19
  1979.15479 02 26 0.16471  4.98e-04   1
  1979.15753 02 27 0.16568  5.12e-04   1
  1979.16027 02 28 0.16637  5.22e-04   1
  1979.16301 03 01 0.16696  5.31e-04   1
  1979.16575 03 02 0.16891  5.62e-04   1
  1979.16849 03 03 0.16950  5.72e-04   1
  1979.17123 03 04 0.16979  5.77e-04   1
  1979.17397 03 05 0.16900  1.86e-03  19
  1979.17671 03 06 0.16940  5.70e-04   1
  1979.17945 03 07 0.16901  5.64e-04   1
  1979.18219 03 08 0.16823  5.51e-04   1
  1979.18493 03 09 0.16843  1.82e-03  19
  1979.18767 03 10 0.16705  5.33e-04   1
  1979.19041 03 11 0.16774  1.77e-03  19
  1979.19315 03 12 0.16833  5.53e-04   1
  1979.19589 03 13 0.16842  5.55e-04   1
  1979.19863 03 14 0.16882  5.61e-04   1
  1979.20137 03 15 0.16930  5.69e-04   1
  1979.20411 03 16 0.16709  1.73e-03  19
  1979.20685 03 17 0.16708  1.73e-03  19
  1979.20959 03 18 0.17009  5.82e-04   1
  1979.21233 03 19 0.16950  5.72e-04   1
  1979.21507 03 20 0.16833  5.53e-04   1
  1979.21781 03 21 0.16763  1.76e-03  19
  1979.22055 03 22 0.16715  5.34e-04   1
  1979.22329 03 23 0.16846  1.82e-03  19
  1979.22603 03 24 0.16705  5.33e-04   1
  1979.22877 03 25 0.16686  5.30e-04   1
  1979.23151 03 26 0.16705  5.33e-04   1
  1979.23425 03 27 0.16774  5.44e-04   1
  1979.23699 03 28 0.16793  5.47e-04   1
  1979.23973 03 29 0.16940  5.70e-04   1
  1979.24247 03 30 0.17019  5.83e-04   1
  1979.24521 03 31 0.17156  6.06e-04   1
  1979.24795 04 01 0.17165  6.08e-04   1
  1979.25068 04 02 0.17126  6.01e-04   1
  1979.25342 04 03 0.17058  5.90e-04   1
  1979.25616 04 04 0.16823  5.51e-04   1
  1979.25890 04 05 0.16737  1.75e-03  19
  1979.26164 04 06 0.16461  4.96e-04   1
  1979.26438 04 07 0.16412  4.89e-04   1
  1979.26712 04 08 0.16373  4.84e-04   1
  1979.26986 04 09 0.16324  4.77e-04   1
  1979.27260 04 10 0.16382  4.85e-04   1
  1979.27534 04 11 0.16441  4.93e-04   1
  1979.27808 04 12 0.16558  1.62e-03  19
  1979.28082 04 13 0.16784  5.45e-04   1
  1979.28356 04 14 0.16610  1.66e-03  19
  1979.28630 04 15 0.16628  1.67e-03  19
  1979.28904 04 16 0.16754  5.41e-04   1
  1979.29178 04 17 0.16666  5.27e-04   1
  1979.29452 04 18 0.16519  5.05e-04   1
  1979.29726 04 19 0.16402  4.88e-04   1
  1979.30000 04 20 0.16226  4.64e-04   1
  1979.30274 04 21 0.16177  4.57e-04   1
  1979.30548 04 22 0.16388  1.51e-03  19
  1979.30822 04 23 0.16148  4.54e-04   1
  1979.31096 04 24 0.16415  1.53e-03  19
  1979.31370 04 25 0.16464  1.56e-03  19
  1979.31644 04 26 0.16528  1.60e-03  19
  1979.31918 04 27 0.16793  5.47e-04   1
  1979.32192 04 28 0.16872  5.59e-04   1
  1979.32466 04 29 0.16823  5.51e-04   1
  1979.32740 04 30 0.16713  1.73e-03  19
  1979.33014 05 01 0.16764  5.42e-04   1
  1979.33288 05 02 0.16656  5.25e-04   1
  1979.33562 05 03 0.16490  5.00e-04   1
  1979.33836 05 04 0.16572  1.63e-03  19
  1979.34110 05 05 0.16543  1.61e-03  19
  1979.34384 05 06 0.16373  4.84e-04   1
  1979.34658 05 07 0.16402  4.88e-04   1
  1979.34932 05 08 0.16541  1.61e-03  19
  1979.35205 05 09 0.16637  5.22e-04   1
  1979.35479 05 10 0.16803  5.48e-04   1
  1979.35753 05 11 0.16833  5.53e-04   1
  1979.36027 05 12 0.16692  1.72e-03  19
  1979.36301 05 13 0.16930  5.69e-04   1
  1979.36575 05 14 0.16901  5.64e-04   1
  1979.36849 05 15 0.16862  5.58e-04   1
  1979.37123 05 16 0.16715  5.34e-04   1
  1979.37397 05 17 0.16559  5.11e-04   1
  1979.37671 05 18 0.16412  4.89e-04   1
  1979.37945 05 19 0.16343  4.80e-04   1
  1979.38219 05 20 0.16429  1.54e-03  19
  1979.38493 05 21 0.16401  1.52e-03  19
  1979.38767 05 22 0.16275  4.70e-04   1
  1979.39041 05 23 0.16404  1.52e-03  19
  1979.39315 05 24 0.16434  1.54e-03  19
  1979.39589 05 25 0.16715  5.34e-04   1
  1979.39863 05 26 0.16696  5.31e-04   1
  1979.40137 05 27 0.16637  5.22e-04   1
  1979.40411 05 28 0.16531  1.61e-03  19
  1979.40685 05 29 0.16535  1.61e-03  19
  1979.40959 05 30 0.16510  5.03e-04   1
  1979.41233 05 31 0.16441  4.93e-04   1
  1979.41507 06 01 0.16612  1.66e-03  19
  1979.41781 06 02 0.16549  5.09e-04   1
  1979.42055 06 03 0.16676  5.28e-04   1
  1979.42329 06 04 0.16921  5.67e-04   1
  1979.42603 06 05 0.16905  1.86e-03  19
  1979.42877 06 06 0.17067  5.91e-04   1
  1979.43151 06 07 0.17244  6.21e-04   1
  1979.43425 06 08 0.16990  1.92e-03  19
  1979.43699 06 09 0.16965  1.91e-03  19
  1979.43973 06 10 0.16979  5.77e-04   1
  1979.44247 06 11 0.16764  5.42e-04   1
  1979.44521 06 12 0.16647  5.24e-04   1
  1979.44795 06 13 0.16608  1.66e-03  19
  1979.45068 06 14 0.16373  4.84e-04   1
  1979.45342 06 15 0.16285  4.72e-04   1
  1979.45616 06 16 0.16285  4.72e-04   1
  1979.45890 06 17 0.16338  1.48e-03  19
  1979.46164 06 18 0.16294  4.73e-04   1
  1979.46438 06 19 0.16245  4.66e-04   1
  1979.46712 06 20 0.16296  1.45e-03  19
  1979.46986 06 21 0.16297  1.45e-03  19
  1979.47260 06 22 0.16431  4.92e-04   1
  1979.47534 06 23 0.16373  4.84e-04   1
  1979.47808 06 24 0.16306  1.45e-03  19
  1979.48082 06 25 0.16310  1.46e-03  19
  1979.48356 06 26 0.16422  4.91e-04   1
  1979.48630 06 27 0.16490  5.00e-04   1
  1979.48904 06 28 0.16411  1.52e-03  19
  1979.49178 06 29 0.16490  1.58e-03  19
  1979.49452 06 30 0.16602  1.65e-03  19
  1979.49726 07 01 0.16686  5.30e-04   1
  1979.50000 07 02 0.16930  5.69e-04   1
  1979.50274 07 03 0.16930  1.88e-03  19
  1979.50548 07 04 0.17175  6.10e-04   1
  1979.50822 07 05 0.17234  6.20e-04   1
  1979.51096 07 06 0.16974  1.91e-03  19
  1979.51370 07 07 0.16922  1.88e-03  19
  1979.51644 07 08 0.17028  5.85e-04   1
  1979.51918 07 09 0.16882  5.61e-04   1
  1979.52192 07 10 0.16647  5.24e-04   1
  1979.52466 07 11 0.16525  1.60e-03  19
  1979.52740 07 12 0.16402  4.88e-04   1
  1979.53014 07 13 0.16285  4.72e-04   1
  1979.53288 07 14 0.16138  4.52e-04   1
  1979.53562 07 15 0.16173  1.37e-03  19
  1979.53836 07 16 0.16118  4.50e-04   1
  1979.54110 07 17 0.16167  4.56e-04   1
  1979.54384 07 18 0.16139  1.34e-03  19
  1979.54658 07 19 0.16162  1.36e-03  19
  1979.54932 07 20 0.16304  4.74e-04   1
  1979.55205 07 21 0.16353  4.81e-04   1
  1979.55479 07 22 0.16285  4.72e-04   1
  1979.55753 07 23 0.16325  1.47e-03  19
  1979.56027 07 24 0.16362  1.49e-03  19
  1979.56301 07 25 0.16304  4.74e-04   1
  1979.56575 07 26 0.16461  4.96e-04   1
  1979.56849 07 27 0.16416  1.53e-03  19
  1979.57123 07 28 0.16588  5.15e-04   1
  1979.57397 07 29 0.16519  5.05e-04   1
  1979.57671 07 30 0.16617  5.19e-04   1
  1979.57945 07 31 0.16416  1.53e-03  19
  1979.58219 08 01 0.16588  5.15e-04   1
  1979.58493 08 02 0.16480  4.99e-04   1
  1979.58767 08 03 0.16510  5.03e-04   1
  1979.59041 08 04 0.16381  1.50e-03  19
  1979.59315 08 05 0.16314  4.76e-04   1
  1979.59589 08 06 0.16324  4.77e-04   1
  1979.59863 08 07 0.16380  1.50e-03  19
  1979.60137 08 08 0.16380  1.50e-03  19
  1979.60411 08 09 0.16334  4.78e-04   1
  1979.60685 08 10 0.16363  4.82e-04   1
  1979.60959 08 11 0.16373  4.84e-04   1
  1979.61233 08 12 0.16393  1.51e-03  19
  1979.61507 08 13 0.16392  4.86e-04   1
  1979.61781 08 14 0.16412  4.89e-04   1
  1979.62055 08 15 0.16461  4.96e-04   1
  1979.62329 08 16 0.16498  1.58e-03  19
  1979.62603 08 17 0.16431  4.92e-04   1
  1979.62877 08 18 0.16480  4.99e-04   1
  1979.63151 08 19 0.16549  5.09e-04   1
  1979.63425 08 20 0.16727  1.74e-03  19
  1979.63699 08 21 0.16802  1.79e-03  19
  1979.63973 08 22 0.16813  5.50e-04   1
  1979.64247 08 23 0.16882  5.61e-04   1
  1979.64521 08 24 0.16960  1.90e-03  19
  1979.64795 08 25 0.16921  5.67e-04   1
  1979.65068 08 26 0.16930  5.69e-04   1
  1979.65342 08 27 0.16891  5.62e-04   1
  1979.65616 08 28 0.16838  1.82e-03  19
  1979.65890 08 29 0.16823  5.51e-04   1
  1979.66164 08 30 0.16754  5.41e-04   1
  1979.66438 08 31 0.16666  5.27e-04   1
  1979.66712 09 01 0.16655  1.69e-03  19
  1979.66986 09 02 0.16500  5.02e-04   1
  1979.67260 09 03 0.16461  4.96e-04   1
  1979.67534 09 04 0.16580  1.64e-03  19
  1979.67808 09 05 0.16549  1.62e-03  19
  1979.68082 09 06 0.16518  1.60e-03  19
  1979.68356 09 07 0.16608  5.18e-04   1
  1979.68630 09 08 0.16588  5.15e-04   1
  1979.68904 09 09 0.16464  1.56e-03  19
  1979.69178 09 10 0.16468  1.56e-03  19
  1979.69452 09 11 0.16488  1.58e-03  19
  1979.69726 09 12 0.16617  5.19e-04   1
  1979.70000 09 13 0.16560  1.62e-03  19
  1979.70274 09 14 0.16611  1.66e-03  19
  1979.70548 09 15 0.16686  5.30e-04   1
  1979.70822 09 16 0.16686  5.30e-04   1
  1979.71096 09 17 0.16732  1.74e-03  19
  1979.71370 09 18 0.16793  5.47e-04   1
  1979.71644 09 19 0.16960  5.74e-04   1
  1979.71918 09 20 0.16950  5.72e-04   1
  1979.72192 09 21 0.16875  1.84e-03  19
  1979.72466 09 22 0.17077  5.93e-04   1
  1979.72740 09 23 0.17146  6.05e-04   1
  1979.73014 09 24 0.17185  6.11e-04   1
  1979.73288 09 25 0.16921  1.87e-03  19
  1979.73562 09 26 0.17165  6.08e-04   1
  1979.73836 09 27 0.17009  5.82e-04   1
  1979.74110 09 28 0.16803  5.48e-04   1
